Timestamp	ID	Payload	Payload Length	Type	Name
1,584083	349	03  64  00  1F  00  00  0A  1E	8	S	
1,594079	349	03  64  00  1F  00  00  FB  1E	8	S	
1,594264	4E9	03  C3  02  00  00	5	S	
1,604134	349	03  64  00  1F  00  00  EC  1E	8	S	
1,609096	489	FF  03  11  46  40  01  00  3F	8	S	
1,614083	349	03  64  00  1F  00  00  DD  1E	8	S	
1,624081	349	03  64  00  1F  00  00  CE  1E	8	S	
1,634111	349	03  64  00  1F  00  00  BF  1E	8	S	
1,644082	349	03  64  00  1F  00  00  A0  1E	8	S	
1,654084	349	03  64  00  1F  00  00  91  1E	8	S	
1,664167	349	03  64  00  1F  00  00  82  1E	8	S	
1,669131	C9	00  00  00  00  00  00  00  00	8	S	
1,669380	E9	00  00  00  00  00  00  00  00	8	S	
1,669618	489	FF  03  11  46  40  01  00  3F	8	S	
1,674044	A9	00  00  00  00  00	5	S	
1,674283	349	03  64  00  1F  00  00  73  1E	8	S	
1,684087	349	03  64  00  1F  00  00  64  1E	8	S	
1,694111	349	03  64  00  1F  00  00  55  1E	8	S	
1,694295	4E9	03  D2  02  00  00	5	S	
1,704082	349	03  64  00  1F  00  00  46  1E	8	S	
1,714083	349	03  64  00  1F  00  00  37  1E	8	S	
1,724133	349	03  64  00  1F  00  00  28  1E	8	S	
1,729099	489	FF  03  11  46  40  01  00  3F	8	S	
1,734084	349	03  64  00  1F  00  00  19  1E	8	S	
1,744082	349	03  64  00  1F  00  00  0A  1E	8	S	
1,754113	349	03  64  00  1F  00  00  FB  1E	8	S	
1,764085	349	03  64  00  1F  00  00  EC  1E	8	S	
1,769125	C9	00  00  00  00  00  00  00  00	8	S	
1,769373	E9	00  00  00  00  00  00  00  00	8	S	
1,774044	A9	00  00  00  00  00	5	S	
1,774282	349	03  64  00  1F  00  00  DD  1E	8	S	
1,784129	349	03  64  00  1F  00  00  CE  1E	8	S	
1,789107	489	FF  03  11  46  40  01  00  3F	8	S	
1,794081	349	03  64  00  1F  00  00  BF  1E	8	S	
1,794270	4E9	03  E1  02  00  00	5	S	
1,804084	349	03  64  00  1F  00  00  A0  1E	8	S	
1,814128	349	03  64  00  1F  00  00  91  1E	8	S	
1,824083	349	03  64  00  1F  00  00  82  1E	8	S	
1,834084	349	03  64  00  1F  00  00  73  1E	8	S	
1,844136	349	03  64  00  1F  00  00  64  1E	8	S	
1,849100	489	FF  03  11  46  40  01  00  3F	8	S	
1,854083	349	03  64  00  1F  00  00  55  1E	8	S	
1,864083	349	03  64  00  1F  00  00  46  1E	8	S	
1,869123	C9	00  00  00  00  00  00  00  00	8	S	
1,869371	E9	00  00  00  00  00  00  00  00	8	S	
1,874074	A9	00  00  00  00  00	5	S	
1,874310	349	03  64  00  1F  00  00  37  1E	8	S	
1,884087	349	03  64  00  1F  00  00  28  1E	8	S	
1,894083	349	03  64  00  1F  00  00  19  1E	8	S	
1,894271	4E9	03  F0  02  00  00	5	S	
1,904130	349	03  64  00  1F  00  00  0A  1E	8	S	
1,909108	489	FF  03  11  46  40  01  00  3F	8	S	
1,914087	349	03  64  00  1F  00  00  FB  1E	8	S	
1,924087	349	03  64  00  1F  00  00  EC  1E	8	S	
1,934115	349	03  64  00  1F  00  00  DD  1E	8	S	
1,944086	349	03  64  00  1F  00  00  CE  1E	8	S	
1,954084	349	03  64  00  1F  00  00  BF  1E	8	S	
1,964181	349	03  64  00  1F  00  00  A0  1E	8	S	
1,969135	C9	00  00  00  00  00  00  00  00	8	S	
1,969383	E9	00  00  00  00  00  00  00  00	8	S	
1,969622	489	FF  03  11  46  40  01  00  3F	8	S	
1,974060	A9	00  00  00  00  00	5	S	
1,974298	349	03  64  00  1F  00  00  91  1E	8	S	
1,984099	349	03  64  00  1F  00  00  82  1E	8	S	
1,994129	349	03  64  00  1F  00  00  73  1E	8	S	
1,994318	4E9	03  0F  02  00  00	5	S	
2,004102	349	03  64  00  1F  00  00  64  1E	8	S	
2,014098	349	03  64  00  1F  00  00  55  1E	8	S	
2,024145	349	03  64  00  1F  00  00  46  1E	8	S	
2,029117	489	FF  03  11  46  40  01  00  3F	8	S	
2,034098	349	03  64  00  1F  00  00  37  1E	8	S	
2,044100	349	03  64  00  1F  00  00  28  1E	8	S	
2,054131	349	03  64  00  1F  00  00  19  1E	8	S	
2,064087	349	03  64  00  1F  00  00  0A  1E	8	S	
2,069125	C9	00  00  00  00  00  00  00  00	8	S	
2,069374	E9	00  00  00  00  00  00  00  00	8	S	
2,074048	A9	00  00  00  00  00	5	S	
2,074286	349	03  64  00  1F  00  00  FB  1E	8	S	
2,084138	349	03  64  00  1F  00  00  EC  1E	8	S	
2,089117	489	FF  03  11  46  40  01  00  3F	8	S	
2,094087	349	03  64  00  1F  00  00  DD  1E	8	S	
2,094272	4E9	03  1E  02  00  00	5	S	
2,104100	349	03  64  00  1F  00  00  CE  1E	8	S	
2,114130	349	03  64  00  1F  00  00  BF  1E	8	S	
2,124087	349	03  64  00  1F  00  00  A0  1E	8	S	
2,134087	349	03  64  00  1F  00  00  91  1E	8	S	
2,144132	349	03  64  00  1F  00  00  82  1E	8	S	
2,149104	489	FF  03  11  46  40  01  00  3F	8	S	
2,154087	349	03  64  00  1F  00  00  73  1E	8	S	
2,164091	349	03  64  00  1F  00  00  64  1E	8	S	
2,169125	C9	00  00  00  00  00  00  00  00	8	S	
2,169374	E9	00  00  00  00  00  00  00  00	8	S	
2,174078	A9	00  00  00  00  00	5	S	
2,174314	349	03  64  00  1F  00  00  55  1E	8	S	
2,184084	349	03  64  00  1F  00  00  46  1E	8	S	
2,194087	349	03  64  00  1F  00  00  37  1E	8	S	
2,194275	4E9	03  2D  02  00  00	5	S	
2,204140	349	03  64  00  1F  00  00  28  1E	8	S	
2,209102	489	FF  03  11  46  40  01  00  3F	8	S	
2,214088	349	03  64  00  1F  00  00  19  1E	8	S	
2,224089	349	03  64  00  1F  00  00  0A  1E	8	S	
2,234118	349	03  64  00  1F  00  00  FB  1E	8	S	
2,244092	349	03  64  00  1F  00  00  EC  1E	8	S	
2,254088	349	03  64  00  1F  00  00  DD  1E	8	S	
2,264173	349	03  64  00  1F  00  00  CE  1E	8	S	
2,269141	C9	00  00  00  00  00  00  00  00	8	S	
2,269389	E9	00  00  00  00  00  00  00  00	8	S	
2,269628	489	FF  03  11  46  40  01  00  3F	8	S	
2,274050	A9	00  00  00  00  00	5	S	
2,274288	349	03  64  00  1F  00  00  BF  1E	8	S	
2,284091	349	03  64  00  1F  00  00  A0  1E	8	S	
2,294121	349	03  64  00  1F  00  00  91  1E	8	S	
